"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Regression Test CRM","0","Projects CRUD & Actions","1","0","Import Projects - B. Download Sample","0"
"0","Regression Test CRM","0","Projects Grid & Display","1","0","Column Visibility (Combine)","0"
"0","Regression Test CRM","0","Projects Search & Filters","2","0","Filter Deadline","0"
"0","Regression Test CRM","0","Projects Grid & Display","1","0","Page Display","0"
"0","Regression Test CRM","0","Login Test","12","0","","0"
"0","Regression Test CRM","0","Dashboard Test","2","0","Ticket Status Widget","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","4","0","Import Projects - C. Import Thành Công","0"
"0","Regression Test CRM","0","Projects Search & Filters","3","0","Filter Status","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","3","0","Delete Project","0"
"0","Regression Test CRM","0","Top Bar Features","11","0","Top Bar Navigation","0"
"0","Regression Test CRM","0","Dashboard Test","2","0","Empty State","0"
"0","Regression Test CRM","0","Dashboard Test","1","0","Login to Dashboard","0"
"0","Regression Test CRM","0","Projects Search & Filters","2","0","Filter Start Date","0"
"0","Regression Test CRM","0","Dashboard Test","6","0","Top Bar Widgets","0"
"0","Regression Test CRM","0","Dashboard Test","10","0","Sidebar Navigation","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","5","0","Import Projects - E. Data Trong File","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","3","0","Add Project","0"
"0","Regression Test CRM","0","Projects Search & Filters","2","0","Filter Label","0"
"0","Regression Test CRM","0","Projects Grid & Display","1","0","Column Visibility (Persistence)","0"
"0","Regression Test CRM","0","Dashboard Test","7","0","Invoice Overview Widget","0"
"0","Regression Test CRM","0","Projects Search & Filters","6","0","Combine Filter (2)","0"
"0","Regression Test CRM","0","Dashboard Test","1","0","Team Members Overview Widget","0"
"0","Regression Test CRM","0","Dashboard Test","1","0","All Tasks Overview Widget","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","4","0","Import Projects - D. File Không Hợp Lệ","0"
"0","Regression Test CRM","0","Projects Search & Filters","1","0","Combine Filter (Negative)","0"
"0","Regression Test CRM","0","Dashboard Test","1","0","Projects Overview Widget","0"
"0","Regression Test CRM","0","Projects Search & Filters","4","0","Search","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","5","0","Manage Labels","0"
"0","Regression Test CRM","0","Projects Search & Filters","3","0","Combine Filter (3)","0"
"0","Regression Test CRM","0","Projects Grid & Display","1","0","Page Length","0"
"0","Regression Test CRM","0","Dashboard Test","2","0","Top Bar Clock In/Out","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","2","0","Import Projects - A. UI Modal","0"
"0","Regression Test CRM","0","Dashboard Test","1","0","Open Projects Widget","0"
"0","Regression Test CRM","0","Projects Grid & Display","2","0","Pagination","0"
"0","Regression Test CRM","0","Dashboard Test","1","0","Project Timeline Widget","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","1","0","Client Navigation","0"
"0","Regression Test CRM","0","Projects Search & Filters","1","0","Combine Filter (All)","0"
"0","Regression Test CRM","0","Dashboard Test","2","0","Income vs Expenses Widget","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","1","0","Print","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","1","0","Export Excel","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","2","0","Project Navigation","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","2","0","Edit Project","0"
"0","Regression Test CRM","0","Projects Grid & Display","1","0","Sort All Column","0"
"0","Regression Test CRM","0","Projects CRUD & Actions","1","0","Import & Export Projects","0"
"0","Regression Test CRM","0","Projects Grid & Display","1","0","Column Visibility (Individual)","0"
